tile_name,pixel_x,pixel_y,center_x,center_y,longitude,latitude,distance_from_center,match_confidence,main_image
tile_52.tif,1920,3840,2240,4160,-82.73457776420605,27.53198785448752,2526.91471957405,0.998943030834198,20241011aC0824415w273215n.tif
tile_94.tif,3840,1920,4160,2240,-82.73198785448753,27.534577764206052,2526.91471957405,0.9709465503692628,20241011aC0824415w273215n.tif
tile_75.tif,1956,3577,2276,3897,-82.73452920339884,27.532342618162502,2562.393607547443,0.4911036193370819,20241011aC0824415w273215n.tif
tile_124.tif,5120,1920,5440,2240,-82.7302612480085,27.534577764206052,2573.592430825052,0.9972087144851683,20241011aC0824415w273215n.tif
tile_54.tif,1920,5120,2240,5440,-82.73457776420605,27.530261248008497,2573.592430825052,0.9986205697059632,20241011aC0824415w273215n.tif
tile_65.tif,2560,2560,2880,2880,-82.73371446096654,27.533714460966543,2583.768178455645,0.998237371444702,20241011aC0824415w273215n.tif
tile_15.tif,1876,3577,2196,3897,-82.73463711630377,27.532342618162502,2638.4125909341774,0.569643497467041,20241011aC0824415w273215n.tif
tile_173.tif,7040,4480,7360,4800,-82.72767133828997,27.53112455124801,2654.6295410094417,0.9972938299179076,20241011aC0824415w273215n.tif
tile_117.tif,4480,7040,4800,7360,-82.73112455124802,27.527671338289963,2654.6295410094417,0.9985555410385132,20241011aC0824415w273215n.tif
tile_102.tif,3840,7040,4160,7360,-82.73198785448753,27.527671338289963,2708.8037950357348,0.9985691905021667,20241011aC0824415w273215n.tif
tile_172.tif,7040,3840,7360,4160,-82.72767133828997,27.53198785448752,2708.8037950357348,0.9927597045898438,20241011aC0824415w273215n.tif
tile_155.tif,6400,2560,6720,2880,-82.72853464152948,27.533714460966543,2718.473468695253,0.8732373714447021,20241011aC0824415w273215n.tif
tile_71.tif,2560,6400,2880,6720,-82.73371446096654,27.528534641529475,2718.473468695253,0.9982609748840332,20241011aC0824415w273215n.tif
tile_79.tif,3200,1920,3520,2240,-82.73285115772704,27.534577764206052,2737.710357214583,0.9886678457260132,20241011aC0824415w273215n.tif
tile_51.tif,1920,3200,2240,3520,-82.73457776420605,27.53285115772703,2737.710357214583,0.9984264969825744,20241011aC0824415w273215n.tif
